Name,Age,Marks,Subject,Admission
Bilal Shah,20,584,Arts,No
Ayesha Farooq,17,650,Arts,No
Ali Shah,22,892,Math,Yes
Bilal Shah,19,901,Computer,Yes
Bilal Malik,19,531,Math,No
Ali Ahmed,20,798,Arts,No
Zain Ali,17,829,Arts,No
Ayesha Farooq,22,847,Computer,Yes
Ayesha Ahmed,16,857,Computer,No
Ayesha Malik,17,915,Arts,No
Noor Malik,22,814,Arts,No
Usman Ahmed,18,828,Math,Yes
Sara Farooq,18,922,Computer,Yes
Iqra Raza,16,677,Computer,No
Ayesha Farooq,22,738,Medical,Yes
Bilal Khan,20,884,Arts,No
Iqra Raza,16,787,Math,No
Bilal Khan,20,779,Computer,Yes
Ayesha Khan,16,596,Computer,No
Iqra Raza,19,507,Math,No
Bilal Khan,18,756,Computer,Yes
Ali Raza,22,815,Medical,Yes
Bilal Farooq,19,658,Math,Yes
Hina Ali,20,975,Math,Yes
Sara Raza,20,750,Math,Yes
Hina Malik,21,932,Medical,Yes
Ahmed Farooq,16,904,Medical,No
Ali Ahmed,16,692,Computer,No
Bilal Shah,21,815,Arts,No
Hina Farooq,16,732,Arts,No
Ahmed Ali,19,758,Computer,Yes
Ali Ali,21,698,Medical,Yes
Usman Ali,16,662,Medical,No
Hina Butt,18,868,Computer,Yes
Sara Malik,16,677,Arts,No
Bilal Shah,17,577,Computer,No
Usman Butt,22,865,Computer,Yes
Sara Khan,22,746,Arts,No
Noor Malik,20,528,Medical,No
Hina Farooq,22,888,Medical,Yes
Ayesha Shah,17,690,Computer,No
Hina Farooq,19,803,Arts,No
Ali Butt,19,648,Arts,No
Ayesha Butt,16,645,Computer,No
Ali Butt,19,795,Math,Yes
Ali Farooq,16,970,Computer,No
Sara Khan,17,838,Math,No
Usman Malik,16,979,Math,No
Sara Shah,16,587,Arts,No
Hina Ahmed,22,514,Arts,No
Hina Khan,21,516,Math,No
Usman Shah,20,645,Medical,Yes
Usman Ahmed,20,635,Medical,Yes
Ali Ali,20,817,Arts,No
Ali Malik,18,827,Computer,Yes
Sara Farooq,17,742,Math,No
Noor Butt,19,535,Math,No
Usman Butt,16,868,Computer,No
Noor Raza,21,948,Arts,Yes
Noor Raza,20,905,Math,Yes
Ali Ahmed,16,849,Computer,No
Ahmed Malik,21,658,Computer,Yes
Hina Shah,20,573,Arts,No
Noor Shah,19,685,Computer,Yes
Iqra Ali,17,545,Math,No
Zain Malik,19,940,Math,Yes
Bilal Raza,19,868,Computer,Yes
Ayesha Butt,19,637,Computer,Yes
Sara Khan,17,629,Computer,No
Noor Shah,19,904,Arts,Yes
Ahmed Butt,19,516,Computer,No
Sara Ali,20,643,Arts,No
Usman Ali,19,606,Arts,No
Ayesha Ali,17,718,Medical,No
Bilal Farooq,19,621,Arts,No
Noor Raza,22,535,Computer,No
Ayesha Raza,17,950,Medical,No
Bilal Farooq,21,519,Computer,No
Iqra Malik,17,569,Medical,No
Zain Ali,21,833,Computer,Yes
Usman Ahmed,17,566,Computer,No
Usman Ahmed,18,732,Medical,Yes
Hina Ahmed,19,794,Computer,Yes
Usman Malik,18,531,Computer,No
Noor Malik,18,511,Computer,No
Ahmed Malik,21,714,Arts,No
Ayesha Raza,19,819,Medical,Yes
Usman Malik,19,948,Medical,Yes
Hina Ali,18,521,Arts,No
Bilal Ahmed,16,755,Math,No
Ayesha Malik,20,543,Computer,No
Sara Farooq,21,501,Math,No
Ali Ali,19,642,Computer,Yes
Ali Farooq,17,582,Computer,No
Ayesha Farooq,17,939,Medical,No
Hina Khan,20,663,Math,Yes
Usman Malik,19,638,Computer,Yes
Sara Khan,22,726,Computer,Yes
Ayesha Malik,22,622,Math,Yes
Sara Shah,20,677,Math,Yes
Zain Raza,20,506,Computer,No
Noor Ahmed,21,766,Arts,No
Ali Ali,20,674,Math,Yes
Iqra Shah,19,813,Math,Yes
Ayesha Khan,19,910,Arts,Yes
Hina Shah,16,617,Computer,No
Ahmed Khan,20,866,Arts,No
Ayesha Ahmed,19,898,Medical,Yes
Ali Malik,16,507,Math,No
Ali Shah,18,819,Arts,No
Bilal Shah,18,721,Math,Yes
Ahmed Ahmed,22,914,Computer,Yes
Sara Malik,19,606,Computer,Yes
Ali Farooq,21,673,Arts,No
Zain Farooq,18,844,Medical,Yes
Sara Butt,19,544,Math,No
Sara Butt,21,700,Arts,No
Zain Raza,20,940,Medical,Yes
Zain Ali,20,876,Math,Yes
Ahmed Butt,21,717,Arts,No
Usman Butt,16,531,Arts,No
Usman Ahmed,22,797,Computer,Yes
Bilal Khan,22,862,Math,Yes
Usman Shah,21,588,Math,Yes
Bilal Butt,22,578,Math,Yes
Ali Shah,21,557,Computer,Yes
Ayesha Butt,20,835,Medical,Yes
Bilal Malik,19,510,Computer,No
Ali Butt,17,917,Medical,No
Ahmed Butt,18,574,Arts,No
Sara Ali,21,627,Math,Yes
Bilal Shah,20,734,Medical,Yes
Noor Raza,20,804,Computer,Yes
Ahmed Khan,17,800,Arts,No
Ali Raza,17,549,Computer,No
Bilal Ali,21,529,Math,No
Iqra Shah,18,787,Computer,Yes
Zain Raza,16,508,Computer,No
Ahmed Shah,20,754,Arts,No
Usman Raza,22,991,Computer,Yes
Zain Raza,22,612,Arts,No
Sara Ali,18,749,Medical,Yes
Bilal Farooq,20,956,Medical,Yes
Ayesha Ahmed,22,587,Medical,Yes
Ahmed Khan,16,755,Math,No
Noor Shah,18,792,Medical,Yes
Ali Butt,19,936,Medical,Yes
Sara Raza,18,562,Computer,Yes
Ayesha Butt,22,900,Arts,Yes
Iqra Malik,20,889,Computer,Yes
Noor Raza,17,723,Computer,No
Iqra Malik,21,798,Computer,Yes
Ali Butt,22,839,Medical,Yes
Zain Raza,18,951,Medical,Yes
Bilal Shah,17,832,Medical,No
Sara Raza,21,730,Computer,Yes
Ayesha Malik,17,549,Medical,No
Ali Khan,22,561,Computer,Yes
Hina Ali,20,997,Computer,Yes
Bilal Farooq,17,960,Computer,No
Zain Ahmed,16,937,Computer,No
Bilal Ahmed,20,918,Medical,Yes
Iqra Malik,22,612,Computer,Yes
Bilal Butt,21,697,Computer,Yes
Hina Farooq,17,580,Math,No
Zain Farooq,21,663,Math,Yes
Ahmed Khan,20,824,Computer,Yes
Ali Farooq,19,526,Computer,No
Noor Malik,20,929,Computer,Yes
Noor Farooq,17,773,Computer,No
Ahmed Farooq,19,807,Computer,Yes
Bilal Ali,22,924,Medical,Yes
Sara Raza,16,585,Computer,No
Hina Butt,17,696,Medical,No
Hina Ali,21,710,Computer,Yes
Noor Khan,21,725,Medical,Yes
Ali Raza,22,503,Arts,No
Sara Shah,19,691,Computer,Yes
Zain Ali,20,834,Computer,Yes
Ali Butt,16,759,Medical,No
Ahmed Khan,19,549,Arts,No
Sara Ali,17,634,Arts,No
Ayesha Raza,20,586,Arts,No
Noor Ahmed,20,977,Computer,Yes
Ahmed Malik,21,939,Math,Yes
Sara Shah,20,699,Medical,Yes
Iqra Ahmed,21,821,Medical,Yes
Ahmed Shah,18,577,Computer,Yes
Iqra Ahmed,17,937,Arts,No
Noor Raza,22,839,Computer,Yes
Usman Farooq,19,602,Arts,No
Ayesha Ahmed,19,696,Medical,Yes
Iqra Malik,18,557,Computer,Yes
Hina Shah,20,708,Computer,Yes
Ali Malik,16,536,Computer,No
Ahmed Butt,21,575,Math,Yes
Ahmed Ahmed,19,711,Computer,Yes
Hina Butt,21,700,Medical,Yes
Ahmed Ahmed,16,819,Math,No
Sara Khan,21,854,Math,Yes
Hina Farooq,17,835,Computer,No
Zain Ali,21,944,Math,Yes
Usman Butt,16,604,Medical,No
Hina Ahmed,20,910,Arts,Yes
Bilal Shah,19,631,Computer,Yes
Iqra Raza,22,653,Arts,No
Hina Shah,21,630,Medical,Yes
Sara Farooq,17,661,Medical,No
Ayesha Raza,18,605,Medical,Yes
Iqra Khan,16,607,Arts,No
Usman Ahmed,18,722,Math,Yes
Usman Shah,16,819,Computer,No
Ali Khan,22,842,Math,Yes
Ayesha Raza,18,525,Arts,No
Usman Butt,17,744,Arts,No
Bilal Shah,17,797,Computer,No
Ali Raza,21,842,Math,Yes
Noor Malik,21,735,Math,Yes
Iqra Khan,19,891,Medical,Yes
Ali Khan,17,524,Arts,No
Ali Shah,22,723,Math,Yes
Usman Ali,16,561,Medical,No
Zain Shah,16,574,Arts,No
Zain Malik,17,558,Arts,No
Bilal Ahmed,17,739,Arts,No
Iqra Raza,22,531,Arts,No
Ayesha Shah,17,882,Math,No
Iqra Farooq,21,653,Arts,No
Ahmed Raza,19,586,Computer,Yes
Ali Malik,18,792,Arts,No
Ahmed Farooq,16,842,Medical,No
Sara Ali,21,595,Computer,Yes
Ahmed Ahmed,18,594,Math,Yes
Bilal Ahmed,18,952,Computer,Yes
Ali Khan,22,953,Math,Yes
Zain Shah,20,683,Computer,Yes
Iqra Farooq,18,656,Arts,No
Iqra Farooq,19,536,Math,No
Ayesha Raza,20,771,Medical,Yes
Ali Khan,16,708,Arts,No
Ali Khan,17,673,Medical,No
Bilal Raza,20,521,Math,No
Ayesha Raza,17,758,Medical,No
Ali Ali,20,649,Math,Yes
Ali Malik,22,529,Arts,No
Ahmed Butt,19,504,Computer,No
Ayesha Butt,22,866,Math,Yes
Iqra Raza,18,649,Medical,Yes
Zain Ahmed,20,816,Medical,Yes
Sara Ahmed,17,801,Arts,No
Ali Farooq,16,549,Math,No
Zain Khan,18,827,Math,Yes
Bilal Butt,20,904,Arts,Yes
Noor Ali,16,776,Computer,No
Noor Raza,16,712,Computer,No
Ayesha Ali,20,834,Arts,No
Usman Malik,17,822,Medical,No
Ali Ali,22,547,Math,No
Hina Ahmed,16,508,Arts,No
Ali Ahmed,18,571,Computer,Yes
Zain Butt,16,522,Arts,No
Zain Ahmed,19,666,Arts,No
Usman Malik,21,769,Math,Yes
Sara Khan,21,769,Math,Yes
Ahmed Ahmed,16,908,Math,No
Ayesha Malik,17,770,Math,No
Ahmed Shah,19,580,Arts,No
Ayesha Butt,18,506,Math,No
Hina Malik,16,656,Computer,No
Bilal Farooq,16,806,Computer,No
Noor Khan,20,538,Math,No
Ali Butt,21,562,Computer,Yes
Ayesha Ahmed,20,876,Computer,Yes
Ayesha Butt,19,632,Medical,Yes
Iqra Ali,21,803,Math,Yes
Iqra Raza,17,994,Computer,No
Ahmed Khan,21,603,Computer,Yes
Ali Ali,22,556,Math,Yes
Sara Raza,18,542,Arts,No
Hina Raza,20,695,Math,Yes
Ali Khan,16,711,Medical,No
Ali Raza,20,831,Arts,No
Ali Ali,18,594,Computer,Yes
Ali Ali,18,920,Medical,Yes
Iqra Shah,16,691,Computer,No
Ayesha Ali,22,772,Math,Yes
Bilal Ali,22,881,Medical,Yes
Ayesha Malik,22,822,Math,Yes
Ayesha Ali,21,574,Arts,No
Ali Khan,19,764,Computer,Yes
Sara Ahmed,17,668,Arts,No
Noor Ali,21,630,Computer,Yes
Ahmed Ali,16,671,Computer,No
Ayesha Ahmed,19,531,Computer,No
Hina Shah,17,569,Math,No
Bilal Ahmed,18,570,Arts,No
Ali Shah,16,572,Math,No
Usman Ahmed,17,667,Math,No
Ali Shah,19,882,Computer,Yes
Hina Farooq,19,647,Computer,Yes
Usman Khan,20,731,Arts,No
Bilal Khan,22,908,Math,Yes
Bilal Ali,21,671,Computer,Yes
Hina Farooq,19,729,Medical,Yes
Ali Malik,17,944,Computer,No
Sara Ahmed,21,585,Math,Yes
Ahmed Butt,22,676,Arts,No
Ali Malik,22,874,Arts,No
Usman Khan,20,552,Computer,Yes
Ali Shah,19,879,Arts,No
Noor Ali,20,661,Medical,Yes
Noor Raza,16,721,Arts,No
Noor Shah,17,638,Medical,No
Zain Ahmed,18,946,Medical,Yes
Iqra Raza,18,942,Computer,Yes
Usman Malik,16,748,Math,No
Ayesha Farooq,20,647,Math,Yes
Ahmed Ali,19,589,Math,Yes
Sara Farooq,17,649,Arts,No
Zain Ali,16,847,Arts,No
Hina Shah,20,712,Arts,No
Sara Butt,22,738,Computer,Yes
Bilal Ali,17,523,Arts,No
Bilal Khan,22,503,Math,No
Hina Malik,16,782,Arts,No
Usman Ahmed,21,605,Arts,No
Bilal Raza,18,778,Computer,Yes
Bilal Malik,20,858,Medical,Yes
Noor Raza,20,593,Arts,No
Zain Khan,20,526,Math,No
Hina Shah,20,978,Computer,Yes
Zain Raza,19,585,Computer,Yes
Noor Shah,17,957,Math,No
Ahmed Farooq,18,847,Math,Yes
Noor Ahmed,16,822,Medical,No
Iqra Malik,21,859,Medical,Yes
Ahmed Shah,18,587,Medical,Yes
Noor Malik,17,562,Math,No
Zain Malik,22,874,Arts,No
Usman Ahmed,18,959,Computer,Yes
Iqra Raza,21,855,Medical,Yes
Ahmed Malik,21,774,Math,Yes
Hina Shah,21,787,Arts,No
Ahmed Malik,22,724,Math,Yes
Hina Malik,21,579,Medical,Yes
Usman Ali,16,864,Medical,No
Ahmed Ali,18,606,Computer,Yes
Ayesha Butt,22,920,Math,Yes
Ahmed Raza,22,786,Medical,Yes
Usman Ahmed,20,899,Computer,Yes
Bilal Ahmed,22,771,Medical,Yes
Ayesha Ali,22,895,Computer,Yes
Sara Ahmed,21,701,Math,Yes
Ayesha Butt,18,535,Arts,No
Noor Khan,20,644,Computer,Yes
Ali Butt,22,805,Computer,Yes
Bilal Malik,16,660,Math,No
Zain Ahmed,21,640,Computer,Yes
Noor Khan,19,962,Computer,Yes
Ahmed Ahmed,19,511,Math,No
Iqra Butt,16,691,Medical,No
Ali Malik,22,657,Arts,No
Bilal Butt,20,663,Arts,No
Ayesha Malik,21,966,Math,Yes
Ahmed Ali,16,516,Math,No
Noor Butt,21,929,Arts,Yes
Hina Ahmed,17,649,Medical,No
Sara Butt,20,871,Medical,Yes
Ayesha Butt,22,845,Medical,Yes
Ahmed Ahmed,22,662,Computer,Yes
Bilal Farooq,22,552,Arts,No
Noor Khan,18,702,Computer,Yes
Iqra Butt,21,591,Arts,No
Zain Raza,22,621,Math,Yes
Hina Khan,17,681,Computer,No
Bilal Farooq,22,773,Arts,No
Sara Khan,17,522,Arts,No
Usman Malik,19,803,Medical,Yes
Ahmed Malik,20,591,Medical,Yes
Zain Shah,16,503,Math,No
Sara Farooq,19,705,Math,Yes
Zain Malik,21,573,Computer,Yes
Noor Khan,22,973,Math,Yes
Hina Shah,20,514,Computer,No
Bilal Farooq,16,577,Medical,No
Ayesha Raza,20,797,Medical,Yes
Bilal Ali,17,956,Math,No
Iqra Shah,21,860,Arts,No
Ali Ahmed,18,658,Arts,No
Usman Butt,19,603,Medical,Yes
Bilal Khan,19,776,Math,Yes
Ali Ali,20,732,Math,Yes
Bilal Butt,16,836,Arts,No
Hina Ahmed,21,724,Medical,Yes
Sara Malik,19,845,Medical,Yes
Usman Butt,21,695,Arts,No
Zain Malik,21,633,Arts,No
Bilal Farooq,21,683,Computer,Yes
Ayesha Raza,22,725,Medical,Yes
Ahmed Ali,19,636,Math,Yes
Ayesha Farooq,22,721,Math,Yes
Zain Malik,21,769,Computer,Yes
Ahmed Shah,18,739,Math,Yes
Bilal Farooq,19,804,Arts,No
Usman Raza,22,539,Medical,No
Noor Shah,17,735,Math,No
Ayesha Ahmed,17,804,Medical,No
Bilal Ahmed,16,602,Arts,No
Bilal Raza,20,529,Math,No
Noor Khan,18,725,Medical,Yes
Usman Shah,18,512,Math,No
Ayesha Ahmed,19,557,Computer,Yes
Hina Farooq,19,668,Computer,Yes
Noor Butt,17,620,Computer,No
Iqra Ali,18,895,Computer,Yes
Hina Raza,16,565,Arts,No
Usman Butt,16,585,Computer,No
Ali Ali,21,719,Math,Yes
Iqra Shah,16,541,Arts,No
Ahmed Shah,20,720,Computer,Yes
Iqra Khan,17,597,Medical,No
Ali Malik,18,885,Math,Yes
Sara Ahmed,19,768,Computer,Yes
Usman Ali,20,973,Math,Yes
Iqra Raza,16,634,Math,No
Ayesha Raza,18,931,Medical,Yes
Noor Shah,17,855,Computer,No
Ahmed Malik,19,623,Math,Yes
Bilal Raza,17,894,Medical,No
Iqra Ali,21,554,Computer,Yes
Zain Ahmed,21,737,Arts,No
Ayesha Farooq,22,653,Computer,Yes
Ayesha Ali,16,881,Computer,No
Noor Ali,17,714,Medical,No
Zain Ali,19,709,Medical,Yes
Usman Butt,19,548,Math,No
Ayesha Raza,19,666,Computer,Yes
Noor Farooq,18,682,Math,Yes
Zain Khan,20,721,Medical,Yes
Noor Farooq,18,879,Computer,Yes
Ahmed Farooq,16,596,Medical,No
Ayesha Farooq,18,570,Computer,Yes
Ahmed Khan,22,877,Computer,Yes
Ahmed Shah,20,624,Computer,Yes
Noor Farooq,17,708,Math,No
